year,sex,level_of_school,length_of_service,no_of_teachers
1991,F,PRIMARY,30 YEARS & ABOVE,1321
1991,MF,SECONDARY,30 YEARS & ABOVE,737
1991,F,SECONDARY,30 YEARS & ABOVE,241
1991,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,37
1991,F,PRE-UNIVERSITY,30 YEARS & ABOVE,15
1992,MF,PRIMARY,0 - 4 YEARS,1875
1992,F,PRIMARY,0 - 4 YEARS,1696
1992,MF,SECONDARY,0 - 4 YEARS,1153
1992,F,SECONDARY,0 - 4 YEARS,869
1992,MF,PRE-UNIVERSITY,0 - 4 YEARS,485
1992,F,PRE-UNIVERSITY,0 - 4 YEARS,316
1992,MF,PRIMARY,5 - 9 YEARS,625
1992,F,PRIMARY,5 - 9 YEARS,544
1992,MF,SECONDARY,5 - 9 YEARS,1096
1992,F,SECONDARY,5 - 9 YEARS,853
1992,MF,PRE-UNIVERSITY,5 - 9 YEARS,410
1992,F,PRE-UNIVERSITY,5 - 9 YEARS,286
1992,MF,PRIMARY,10 - 14 YEARS,883
1992,F,PRIMARY,10 - 14 YEARS,806
1992,MF,SECONDARY,10 - 14 YEARS,1373
1992,F,SECONDARY,10 - 14 YEARS,1101
1992,MF,PRE-UNIVERSITY,10 - 14 YEARS,336
1992,F,PRE-UNIVERSITY,10 - 14 YEARS,226
1992,MF,PRIMARY,15 - 19 YEARS,425
1992,F,PRIMARY,15 - 19 YEARS,355
1992,MF,SECONDARY,15 - 19 YEARS,544
1992,F,SECONDARY,15 - 19 YEARS,410
1992,MF,PRE-UNIVERSITY,15 - 19 YEARS,121
1992,F,PRE-UNIVERSITY,15 - 19 YEARS,96
1992,MF,PRIMARY,20 - 24 YEARS,857
1992,F,PRIMARY,20 - 24 YEARS,711
1992,MF,SECONDARY,20 - 24 YEARS,777
1992,F,SECONDARY,20 - 24 YEARS,436
1992,MF,PRE-UNIVERSITY,20 - 24 YEARS,104
1992,F,PRE-UNIVERSITY,20 - 24 YEARS,50
1992,MF,PRIMARY,25 - 29 YEARS,3163
1992,F,PRIMARY,25 - 29 YEARS,2294
1992,MF,SECONDARY,25 - 29 YEARS,1775
1992,F,SECONDARY,25 - 29 YEARS,804
1992,MF,PRE-UNIVERSITY,25 - 29 YEARS,120
1992,F,PRE-UNIVERSITY,25 - 29 YEARS,44
1992,MF,PRIMARY,30 YEARS & ABOVE,2801
1992,F,PRIMARY,30 YEARS & ABOVE,1534
1992,MF,SECONDARY,30 YEARS & ABOVE,870
1992,F,SECONDARY,30 YEARS & ABOVE,291
1992,MF,PRE-UNIVERSITY,30 YEARS & ABOVE,49
1992,F,PRE-UNIVERSITY,30 YEARS & ABOVE,18
1993,MF,PRIMARY,0 - 4 YEARS,2106
1993,F,PRIMARY,0 - 4 YEARS,1887
1993,MF,SECONDARY,0 - 4 YEARS,1187
1993,F,SECONDARY,0 - 4 YEARS,827
1993,MF,PRE-UNIVERSITY,0 - 4 YEARS,442
1993,F,PRE-UNIVERSITY,0 - 4 YEARS,264
1993,MF,PRIMARY,5 - 9 YEARS,767
1993,F,PRIMARY,5 - 9 YEARS,697
1993,MF,SECONDARY,5 - 9 YEARS,986
1993,F,SECONDARY,5 - 9 YEARS,790
1993,MF,PRE-UNIVERSITY,5 - 9 YEARS,392
1993,F,PRE-UNIVERSITY,5 - 9 YEARS,259
1993,MF,PRIMARY,10 - 14 YEARS,864
1993,F,PRIMARY,10 - 14 YEARS,768
1993,MF,SECONDARY,10 - 14 YEARS,1365
1993,F,SECONDARY,10 - 14 YEARS,1082
